,region,model,alpha,mean_score
0,V1,alexnet_mp_features.12,100000,0.23983322553772152
1,V2,alexnet_mp_features.12,100000,0.21526624491648358
2,V3,alexnet_mp_features.12,100000,0.1973117312684587
3,V4,alexnet_mp_features.12,100000,0.2084610016543772
4,V1,alexnet_mp_features.2,10000,0.16818181669949264
5,V2,alexnet_mp_features.2,10000,0.13581124021382845
6,V3,alexnet_mp_features.2,10000,0.11889203527469928
7,V4,alexnet_mp_features.2,100000,0.12620105347682245
8,V1,alexnet_mp_features.5,100000,0.24692309141153324
9,V2,alexnet_mp_features.5,100000,0.21154770086457148
10,V3,alexnet_mp_features.5,100000,0.1818277340675703
11,V4,alexnet_mp_features.5,100000,0.17807014221000858
12,V1,alexnet_mp_features.7,1000000,0.265467441078748
13,V2,alexnet_mp_features.7,1000000,0.23512548437930753
14,V3,alexnet_mp_features.7,1000000,0.20891436629644564
15,V4,alexnet_mp_features.7,1000000,0.20700534779472995
16,V1,alexnet_mp_features.9,100000,0.2481290940073805
17,V2,alexnet_mp_features.9,100000,0.2225689790017169
18,V3,alexnet_mp_features.9,100000,0.2010771906829338
19,V4,alexnet_mp_features.9,100000,0.20510680829919004
